gvkey,year,uai,conm,keyword
64030,2012,0.3343877,STEEL DYNAMICS INC,STEEL DYNAMICS INC
64175,2012,0.4895369,LITHIA MOTORS INC  -CL A,LITHIA MOTORS INC  
64480,2012,0.3290857,ROVI CORP,ROVI CORP
64550,2012,0.325716,ALTAIR NANOTECHNOLOGIES INC,ALTAIR NANOTECHNOLOGIES INC
64584,2012,0.3395308,FIRST SOUTH BANCORP INC/VA,FIRST SOUTH BANCORP
64766,2012,0.3408857,RAMBUS INC,RAMBUS
64997,2012,0.3383788,COMFORT SYSTEMS USA INC,COMFORT SYSTEMS USA 
65009,2012,0.3453781,EXTERRAN HOLDINGS INC,EXTERRAN
65676,2012,0.5945809,INTERMEC INC,INTERMEC INTERNATIONAL INC
65899,2012,0.6422576,REALNETWORKS INC,REALNETWORKS 
66371,2012,0.3237822,INTEGRATED ELECTRICAL SVCS,INTEGRATED ELECTRICAL SVCS
66379,2012,0.7286086,CAREER EDUCATION CORP,CAREER EDUCATION CORP
66446,2012,0.3182709,QUANTA SERVICES INC,QUANTA SERVICES INC
66504,2012,0.4588393,COLONY BANKCORP INC,COLONY BANK
107817,2012,0.3178955,PEAPACK-GLADSTONE FINL CORP,PEAPACK-GLADSTONE BANK
108693,2012,0.5359898,JONES SODA CO,JONES SODA CO
110533,2012,0.3264962,SAUER-DANFOSS INC,SAUER-DANFOSS
112968,2012,0.3144113,MANNATECH INC,MANNATECH INC
116504,2012,0.6723356,SELECT COMFORT CORP,SELECT COMFORT CORP
118525,2012,0.3205388,ENTERPRISE BANCORP INC/MA,ENTERPRISE BANK
120358,2012,0.5119048,THESTREET INC,THESTREET 
121257,2012,0.7616342,UNWIRED PLANET INC,UNWIRED PLANET
121713,2012,0.4935715,FINANCIAL INSTITUTIONS INC,FINANCIAL INSTITUTIONS
122515,2012,0.5010945,VANTAGESOUTH BANCSHARES INC,VANTAGESOUTH BANCSHARES
125237,2012,0.3289529,MARTHA STEWART LIVING OMNIMD,MARTHA STEWART LIVING OMNIMD
126020,2012,0.3240546,INTELLICHECK MOBILISA INC,INTELLICHECK INC
126136,2012,0.3236148,CHARTER COMMUNICATIONS INC,CHARTER COMMUNICATIONS 
126434,2012,0.6706339,RAINMAKER SYSTEMS INC,RAINMAKER SYSTEMS INC
126496,2012,0.5944549,MANAGEMENT NETWORK GROUP INC,MANAGEMENT NETWORK GROUP INC
127179,2012,0.6702041,HARRIS INTERACTIVE INC,HARRIS INTERACTIVE INC
129469,2012,0.517314,EON COMMUNICATIONS CORP,EON COMMUNICATIONS CORP
133288,2012,0.3656781,SILICON LABORATORIES INC,SILICON LABORATORIES GMBH
133949,2012,0.6026785,QUALSTAR CORP,QUALSTAR CORP
136884,2012,0.3284751,DENDREON CORP,DENDREON 
138467,2012,0.5638745,LANTRONIX INC,LANTRONIX
140042,2012,0.5762649,VERMILLION INC,VERMILLION INC
140759,2012,0.3195232,IXIA,IXIA
142814,2012,0.4070986,SYNAPTICS INC,SYNAPTICS INC
146114,2012,0.3376303,MCG CAPITAL CORP,MCG CAPITAL
147208,2012,0.3267727,SUNOCO LOGISTICS PARTNERS LP,SUNOCO LOGISTICS 
150699,2012,0.4038388,CIMAREX ENERGY CO,CIMAREX ENERGY 
151632,2012,0.7281834,WARREN RESOURCES INC,WARREN RESOURCES INC
155394,2012,0.6215359,LKQ CORP,LKQ CORP
156383,2012,0.7050439,AMERICAN EQTY INVT LIFE HLDG,AMERICAN EQTY INVT CORP
158414,2012,0.3644068,SIMPLICITY BANCORP INC,SIMPLICITY BANK
160281,2012,0.6805198,ACTIVE NETWORK INC,ACTIVE NETWORK 
160376,2012,0.32129,TEXAS ROADHOUSE INC,TEXAS ROADHOUSE 
162219,2012,0.3253949,NGP CAPITAL RESOURCES CO,NGP CAPITAL RESOURCES CO
162254,2012,0.5830959,CELANESE CORP,CELANESE
163889,2012,0.5442663,ATRICURE INC,ATRICURE INC
163939,2012,0.3182428,ALON USA ENERGY INC,ALON USA
164660,2012,0.3125,CLEAR CHANNEL OUTDOOR HLDGS,CLEAR CHANNEL OUTDOOR
165123,2012,0.5006868,LEIDOS HOLDINGS INC,LEIDOS
166555,2012,0.3357079,ALPHATEC HOLDINGS INC,ALPHATEC 
166591,2012,0.7087448,CLEVELAND BIOLABS INC,CLEVELAND BIOLABS
174282,2012,0.3169027,ENERGY SERVICES OF AMERICA,ENERGY SERVICES 
174313,2012,0.3217593,VIEWPOINT FINANCIAL GROUP,VIEWPOINT FINANCIAL 
175404,2012,0.315231,FIRST SOLAR INC,FIRST SOLAR
175834,2012,0.3233397,GLOBAL GEOPHYSICAL SVCS INC,GLOBAL GEOPHYSICAL SVCS
176350,2012,0.3734244,MSB FINANCIAL CORP,MSB FINANCIAL CONSULTANTS
176572,2012,0.6645889,AVIAT NETWORKS INC,AVIAT NETWORKS 
176595,2012,0.6700307,FORTRESS INVESTMENT GRP LLC,FORTRESS INVESTMENT GRP
177108,2012,0.3847957,CINEMARK HOLDINGS INC,CINEMARK 
177975,2012,0.3421148,ZAGG INC,ZAGG INC
178083,2012,0.5840336,VMWARE INC -CL A,VMWARE
178608,2012,0.5886843,PATRIOT COAL CORP,PATRIOT COAL CORP
178806,2012,0.3166516,LUMBER LIQUIDATORS HLDGS INC,LUMBER LIQUIDATORS
178846,2012,0.3236096,ENERGYSOLUTIONS INC,ENERGYSOLUTIONS INC
178851,2012,0.3636464,NUVERRA ENVIRONMENTAL SOLUTN,NUVERRA ENVIRONMENTAL SOLUTN
178972,2012,0.6931217,BG MEDICINE INC,BG MEDICINE 
179577,2012,0.3360171,COLFAX CORP,COLFAX CORP
179841,2012,0.5107653,CODEXIS INC,CODEXIS INC
180272,2012,0.3419509,LENDER PROCESSING SERVICES,LENDER PROCESSING SERVICES INC
180905,2012,0.4901786,ROSETTA STONE INC,ROSETTA STONE
181104,2012,0.3408857,ALLSCRIPTS HEALTHCARE SOLTNS,ALLSCRIPTS
183101,2012,0.3379112,MYREXIS INC,MYREXIS INC
184109,2012,0.3125,DYNAVOX INC,DYNAVOX INC
184167,2012,0.4633205,FIRST INTERSTATE BANCSYSTEM,FIRST INTERSTATE BANK
184465,2012,0.6700386,AMPIO PHARMACEUTICALS INC,AMPIO PHARMACEUTICALS INC
184689,2012,0.7508309,GOLUB CAPITAL BDC INC,GOLUB CAPITAL
185112,2012,0.5903305,INPHI CORP,INPHI CORP
185125,2012,0.3158105,ELECTROMED INC,ELECTROMED INC
185227,2012,0.4661562,BODY CENTRAL CORP,BODY CENTRAL
185229,2012,0.4862765,BABCOCK & WILCOX CO,BABCOCK & WILCOX 
185664,2012,0.6383929,PARAMETRIC SOUND CORP,PARAMETRIC 
187653,2012,0.3156626,ZELTIQ AESTHETICS INC,ZELTIQ 
264391,2012,0.6788278,BLUE NILE INC,BLUE NILE 
